"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "comment", "blank", "total"
"/Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/tests/helper.test.ts", "TypeScript", 36, 0, 0, 0, 8, 44
"/Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/types.ts", "TypeScript", 39, 0, 0, 0, 10, 49
"/Users/callum/Workplace/Otherworld/site/src/client/engine/state/Macator.ts", "TypeScript", 24, 0, 0, 0, 5, 29
"/Users/callum/Workplace/Otherworld/site/src/client/engine/state/State.ts", "TypeScript", 31, 0, 0, 0, 7, 38
"/Users/callum/Workplace/Otherworld/site/src/client/generation/genetic/GeneticGenerator.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"/Users/callum/Workplace/Otherworld/site/src/client/generation/model/MapNode.ts", "TypeScript", 15, 0, 0, 0, 5, 20
"/Users/callum/Workplace/Otherworld/site/src/client/generation/model/QuadMap.ts", "TypeScript", 143, 0, 0, 0, 26, 169
"/Users/callum/Workplace/Otherworld/site/src/client/generation/model/__tests__/MapNode.test.ts", "TypeScript", 15, 0, 0, 0, 4, 19
"/Users/callum/Workplace/Otherworld/site/src/client/generation/scenery/Block.ts", "TypeScript", 53, 0, 0, 0, 1, 54
"/Users/callum/Workplace/Otherworld/site/src/client/resources/ResourceManager.ts", "TypeScript", 135, 0, 0, 0, 17, 152
"/Users/callum/Workplace/Otherworld/site/src/client/resources/ResourceManifestBuilder.ts", "TypeScript", 53, 0, 0, 0, 9, 62
"/Users/callum/Workplace/Otherworld/site/src/client/resources/SpriteSheet.ts", "TypeScript", 146, 0, 0, 0, 21, 167
"/Users/callum/Workplace/Otherworld/site/src/client/resources/TextureLoader.ts", "TypeScript", 52, 0, 0, 5, 7, 64
"/Users/callum/Workplace/Otherworld/site/src/client/resources/Types.ts", "TypeScript", 72, 0, 0, 0, 16, 88
"/Users/callum/Workplace/Otherworld/site/src/client/resources/design/Colour.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"/Users/callum/Workplace/Otherworld/site/src/client/resources/design/Spacing.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Items.ts", "TypeScript", 19, 0, 0, 54, 9, 82
"/Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Resources.ts", "TypeScript", 10, 0, 0, 1, 5, 16
"/Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Sprites.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"/Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Types.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"/Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapLayerConverters.ts", "TypeScript", 27, 0, 0, 0, 6, 33
"/Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapLoader.ts", "TypeScript", 67, 0, 0, 0, 10, 77
"/Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapShema.ts", "TypeScript", 28, 0, 0, 3, 9, 40
"/Users/callum/Workplace/Otherworld/site/src/client/resources/maps/converter/DefaultLayerConverter.ts", "TypeScript", 58, 0, 0, 0, 4, 62
"/Users/callum/Workplace/Otherworld/site/src/client/resources/maps/maps/Prison.ts", "TypeScript", 52, 0, 0, 0, 2, 54
"/Users/callum/Workplace/Otherworld/site/src/client/services/EventRouter.ts", "TypeScript", 33, 0, 0, 0, 7, 40
"/Users/callum/Workplace/Otherworld/site/src/client/services/ServiceLocator.ts", "TypeScript", 59, 0, 0, 0, 13, 72
"/Users/callum/Workplace/Otherworld/site/src/client/services/audio/AudioObject.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/callum/Workplace/Otherworld/site/src/client/services/audio/AudioService.ts", "TypeScript", 96, 0, 0, 1, 18, 115
"/Users/callum/Workplace/Otherworld/site/src/client/services/input/ControlScheme.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"/Users/callum/Workplace/Otherworld/site/src/client/services/input/DefaultControlScheme.ts", "TypeScript", 47, 0, 0, 0, 8, 55
"/Users/callum/Workplace/Otherworld/site/src/client/services/input/InputService.ts", "TypeScript", 65, 0, 0, 5, 12, 82
"/Users/callum/Workplace/Otherworld/site/src/client/services/input/InventoryControlScheme.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"/Users/callum/Workplace/Otherworld/site/src/client/services/input/MenuControlScheme.ts", "TypeScript", 8, 0, 0, 0, 5, 13
"/Users/callum/Workplace/Otherworld/site/src/client/services/interaction/InteractionService.ts", "TypeScript", 109, 0, 0, 0, 23, 132
"/Users/callum/Workplace/Otherworld/site/src/client/services/interaction/InteractionType.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/callum/Workplace/Otherworld/site/src/client/services/jobs/ProcedureService.ts", "TypeScript", 131, 0, 0, 0, 25, 156
"/Users/callum/Workplace/Otherworld/site/src/client/services/physics/PhysicsService.ts", "TypeScript", 177, 0, 0, 2, 48, 227
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/RenderService.ts", "TypeScript", 114, 0, 0, 0, 16, 130
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/components/CanvasComponent.tsx", "TypeScript React", 0, 35, 0, 14, 8, 57
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/components/ScreenBuffer.ts", "TypeScript", 13, 0, 0, 25, 9, 47
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/components/index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/index.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/BackgroundRenderService.ts", "TypeScript", 85, 0, 0, 4, 12, 101
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/FloorRenderService.ts", "TypeScript", 234, 0, 0, 2, 58, 294
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/ParticleRenderService.ts", "TypeScript", 206, 0, 0, 3, 52, 261
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/ScreenShakeService.ts", "TypeScript", 23, 0, 0, 0, 8, 31
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/SpriteRenderService.ts", "TypeScript", 252, 0, 0, 7, 65, 324
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/services/WallRenderService.ts", "TypeScript", 240, 0, 0, 2, 60, 302
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/ShaderCompiler.ts", "TypeScript", 34, 0, 0, 0, 8, 42
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/Shaders.ts", "TypeScript", 137, 0, 0, 0, 7, 144
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/ColourFragment.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Fade.ts", "TypeScript", 31, 0, 0, 0, 10, 41
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Fragment.ts", "TypeScript", 20, 0, 0, 0, 8, 28
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Haze.ts", "TypeScript", 30, 0, 0, 0, 8, 38
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/RepeatedFragment.ts", "TypeScript", 20, 0, 0, 0, 7, 27
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/types.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/BillboardVertex.ts", "TypeScript", 38, 0, 0, 0, 8, 46
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/ParticleVertex.ts", "TypeScript", 33, 0, 0, 0, 8, 41
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/RepeatedVertex.ts", "TypeScript", 33, 0, 0, 0, 8, 41
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/Vertex.ts", "TypeScript", 23, 0, 0, 0, 9, 32
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/types/RenderInterface.ts", "TypeScript", 55, 0, 0, 0, 16, 71
"/Users/callum/Workplace/Otherworld/site/src/client/services/render/types/RenderItemInterface.ts", "TypeScript", 9, 0, 0, 0, 3, 12
"/Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Listeners.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"/Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Serialisable.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/SerialisationService.ts", "TypeScript", 81, 0, 0, 0, 15, 96
"/Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Storage.ts", "TypeScript", 15, 0, 0, 0, 5, 20
"/Users/callum/Workplace/Otherworld/site/src/client/types/TypesRender.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"/Users/callum/Workplace/Otherworld/site/src/client/types/TypesVector.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/callum/Workplace/Otherworld/site/src/client/types/index.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/callum/Workplace/Otherworld/site/src/client/ui/State.ts", "TypeScript", 51, 0, 0, 0, 8, 59
"/Users/callum/Workplace/Otherworld/site/src/client/ui/UIContainer.tsx", "TypeScript React", 0, 32, 0, 0, 4, 36
"/Users/callum/Workplace/Otherworld/site/src/client/ui/actions/Actions.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"/Users/callum/Workplace/Otherworld/site/src/client/ui/actions/GameStartActions.ts", "TypeScript", 42, 0, 0, 0, 9, 51
"/Users/callum/Workplace/Otherworld/site/src/client/ui/actions/KeyHintActions.ts", "TypeScript", 15, 0, 0, 0, 4, 19
"/Users/callum/Workplace/Otherworld/site/src/client/ui/actions/MiniGameActions.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/AnimationImageComponent.tsx", "TypeScript React", 0, 28, 0, 0, 3, 31
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/FadeComponent.tsx", "TypeScript React", 0, 51, 0, 0, 7, 58
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/GamePanelComponent.tsx", "TypeScript React", 0, 50, 0, 0, 7, 57
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/HealthBarComponent.tsx", "TypeScript React", 0, 56, 0, 16, 11, 83
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/InventoryItemComponent.tsx", "TypeScript React", 0, 103, 0, 22, 8, 133
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/ItemCollectionComponent.tsx", "TypeScript React", 0, 125, 0, 1, 10, 136
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/KeyComponent.tsx", "TypeScript React", 0, 74, 0, 1, 5, 80
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/KeyHintComponent.tsx", "TypeScript React", 0, 89, 0, 1, 9, 99
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/LockButtonComponent.tsx", "TypeScript React", 0, 70, 0, 2, 6, 78
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/LockMatrixComponent.tsx", "TypeScript React", 0, 67, 0, 0, 7, 74
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/ShadowComponent.tsx", "TypeScript React", 0, 16, 0, 0, 5, 21
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/SpriteImageComponent.tsx", "TypeScript React", 0, 27, 0, 0, 3, 30
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/TextComponent.tsx", "TypeScript React", 0, 67, 0, 0, 13, 80
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/TooltipComponent.tsx", "TypeScript React", 0, 197, 0, 11, 21, 229
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/ViewportComponent.tsx", "TypeScript React", 0, 29, 0, 0, 3, 32
"/Users/callum/Workplace/Otherworld/site/src/client/ui/components/WeaponComponent.tsx", "TypeScript React", 0, 79, 0, 19, 13, 111
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameButtonContainer.tsx", "TypeScript React", 0, 49, 0, 0, 7, 56
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameFadeContainer.tsx", "TypeScript React", 0, 31, 0, 0, 3, 34
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameMenuContainer.tsx", "TypeScript React", 0, 94, 0, 0, 7, 101
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/InventoryContainer.tsx", "TypeScript React", 0, 153, 0, 31, 9, 193
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/ItemCollectionContainer.tsx", "TypeScript React", 0, 102, 0, 0, 9, 111
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/KeyHintsContainer.tsx", "TypeScript React", 0, 102, 0, 1, 13, 116
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/LoadingScreenContainer.tsx", "TypeScript React", 0, 60, 0, 0, 8, 68
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/OldKeyHintsContainer.tsx", "TypeScript React", 0, 147, 0, 16, 13, 176
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/PlayModeContainer.tsx", "TypeScript React", 0, 30, 0, 0, 5, 35
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/ScoreContainer.tsx", "TypeScript React", 0, 58, 0, 0, 5, 63
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/minigame/LockPickContainer.tsx", "TypeScript React", 0, 75, 0, 0, 9, 84
"/Users/callum/Workplace/Otherworld/site/src/client/ui/containers/minigame/MiniGameContainer.tsx", "TypeScript React", 0, 78, 0, 1, 6, 85
"/Users/callum/Workplace/Otherworld/site/src/client/ui/effects/GameEffect.ts", "TypeScript", 8, 0, 0, 0, 3, 11
